Stock1,Stock2,P-Value,Cluster,Sector
GOOG,META,0.05947,communication_services_0,communication_services
GOOGL,META,0.07647,communication_services_0,communication_services
DHI,LEN,0.01728,consumer_discretionary_1,consumer_discretionary
NCLH,CCL,0.08936,consumer_discretionary_2,consumer_discretionary
EBAY,NKE,0.01199,consumer_discretionary_3,consumer_discretionary
MGM,WYNN,0.08961,consumer_discretionary_7,consumer_discretionary
CL,KDP,0.0119,consumer_staples_2,consumer_staples
CL,KMB,0.01895,consumer_staples_2,consumer_staples
CL,MDLZ,0.00625,consumer_staples_2,consumer_staples
CL,KO,0.00991,consumer_staples_2,consumer_staples
CL,PEP,0.01037,consumer_staples_2,consumer_staples
CL,PG,0.01307,consumer_staples_2,consumer_staples
KMB,MDLZ,0.08064,consumer_staples_2,consumer_staples
KMB,KO,0.09025,consumer_staples_2,consumer_staples
KMB,PEP,0.07643,consumer_staples_2,consumer_staples
COP,EOG,0.01752,energy_1,energy
AIG,CB,0.06507,financials_0,financials
AIG,HIG,0.02105,financials_0,financials
CB,HIG,0.06514,financials_0,financials
BK,BEN,0.09389,financials_2,financials
FITB,PNC,0.04318,financials_2,financials
COF,IVZ,0.03594,financials_2,financials
COF,C,0.04156,financials_2,financials
GS,BEN,0.07851,financials_2,financials
HBAN,KEY,0.08814,financials_2,financials
HBAN,SCHW,0.00046,financials_2,financials
HBAN,BAC,0.09666,financials_2,financials
HBAN,RF,0.09937,financials_2,financials
HBAN,PNC,0.07732,financials_2,financials
MS,SCHW,0.06923,financials_2,financials
MS,IVZ,0.02578,financials_2,financials
MS,C,0.04415,financials_2,financials
MS,BEN,0.00315,financials_2,financials
MS,BAC,0.04811,financials_2,financials
MS,TFC,0.0411,financials_2,financials
MS,USB,0.06476,financials_2,financials
MS,SYF,0.01803,financials_2,financials
MS,STT,0.00099,financials_2,financials
MS,PNC,0.04318,financials_2,financials
MS,PFG,0.09604,financials_2,financials
SCHW,RF,0.04147,financials_2,financials
