Feature,Correlation,Abs_Correlation
Target_Direction,1.0,1.0
Range_Position,-0.1516240424089405,0.1516240424089405
MR_Strength,0.13819305802654366,0.13819305802654366
Z_Score,-0.1381930283496066,0.1381930283496066
Extreme_Z,-0.025407663546749584,0.025407663546749584
Recent_Extreme,-0.021957300178992216,0.021957300178992216
Volatility,-0.014182050659564342,0.014182050659564342
Distance_From_Mean,-0.013124137920704906,0.013124137920704906
Vol_Expansion,0.012737880475777275,0.012737880475777275
Speed_To_Mean,0.0016208696430698429,0.0016208696430698429
Spread_Normalized,0.000190188145555538,0.000190188145555538
