Feature,Correlation,Abs_Correlation
Target_Direction,1.0,1.0
Range_Position,-0.1516242861651534,0.1516242861651534
MR_Strength,0.1381930948067729,0.1381930948067729
Z_Score,-0.1381930651298372,0.1381930651298372
Extreme_Z,-0.0254076635467495,0.0254076635467495
Recent_Extreme,-0.0219573001789922,0.0219573001789922
Volatility,-0.0141820520467287,0.0141820520467287
Distance_From_Mean,-0.013124386362159,0.013124386362159
Vol_Expansion,0.0127380895256031,0.0127380895256031
Speed_To_Mean,0.0051722271161036,0.0051722271161036
Spread_Normalized,0.0001901874560468,0.0001901874560468
